site,day_of_month,month,year,text,species,count
Salford Quays,27,January,2013,"Count: 4, observerId: obsr647536, duration: 630, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,4
Salford Quays,3,February,2018,"Count: 5, observerId: obsr602781, duration: 120, number of observers: 3, distance covered: 5.0, area covered: null, trip comments: Temperatura -3ºC, species comments: null",Stock Dove,5
Fletcher Moss Park,21,March,2015,"Count: 2, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Fletcher Moss Park,22,March,2015,"Count: 2, observerId: obsr647536, duration: 135, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Fletcher Moss Park,14,March,2015,"Count: 4, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,4
Fletcher Moss Park,15,May,2016,"Count: 1, observerId: obsr508556, duration: 90, number of observers: 1, distance covered: 4.828, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Fletcher Moss Park,12,March,2018,"Count: 2, observerId: obsr744865, duration: 70, number of observers: 1, distance covered: 0.8, area covered: null, trip comments: Fletcher Moss, Stenner Woods and Millgate Fields circuit, species comments: null",Stock Dove,2
Fletcher Moss Park,28,April,2018,"Count: 1, observerId: obsr647536, duration: 150, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Turn Moss,12,April,2012,"Count: 2, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Turn Moss,18,July,2012,"Count: 2, observerId: obsr744865, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Turn Moss,29,March,2013,"Count: 3, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,3
Turn Moss,23,August,2016,"Count: 1, observerId: obsr744865, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Turn Moss,8,April,2016,"Count: 1, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Turn Moss,17,April,2017,"Count: 2, observerId: obsr1053101, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Turn Moss,9,March,2018,"Count: 1, observerId: obsr1049384, duration: 90, number of observers: 1, distance covered: 1.609, area covered: null, trip comments: null, species comments: null",Stock Dove,1
Turn Moss,15,March,2018,"Count: 2, observerId: obsr744865, duration: 75, number of observers: 1, distance covered: 1.75, area covered: null, trip comments: null, species comments: null",Stock Dove,2
Turn Moss,20,February,2018,"Count: 3, observerId: obsr744865, duration: 55, number of observers: 1, distance covered: 0.5, area covered: null, trip comments: null, species comments: null",Stock Dove,3
Turn Moss,17,April,2018,"Count: 4, observerId: obsr744865, duration: 50, number of observers: 1, distance covered: 1.25, area covered: null, trip comments: null, species comments: null",Stock Dove,4
Mersey Valley,13,May,2015,"Count: null, observerId: obsr508556, duration: 90, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",Stock Dove,508556
Mersey Valley,28,July,2015,"Count: null, observerId: obsr508556, duration: 60, number of observers: 1, distance covered: 4.828, area covered: null, trip comments: null, species comments: null",Stock Dove,508556
Mersey Valley,12,April,2015,"Count: null, observerId: obsr508556, duration: 90, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",Stock Dove,508556
Mersey Valley,10,February,2015,"Count: null, observerId: obsr508556, duration: 105, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",Stock Dove,508556
Mersey Valley,1,July,2015,"Count: null, observerId: obsr508556, duration: 90, number of observers: 1, distance covered: 8.047, area covered: null, trip comments: null, species comments: null",Stock Dove,508556
